site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
AR-Vir,ENF,-28.2395,-56.1886,36,0.376110082,0.239317597,0.346717462,0.085924647,0.052363466,0.103321188,0.616,-0.0495,-0.0498,0.237760417,0.138541667,20.80527415,1757.850861
AT-Neu,GRA,47.11667,11.3175,119,0.756440168,0.32101967,0.813633182,0.23847713,0.551788276,0.641249449,0.1781,0.0324,-0.0015,0.4415379,0.472441903,0.766597076,1726.896079
AU-ASM,ENF,-22.283,133.249,60,0.604214111,1.622148021,1.100695519,0.276717134,0.080865128,0.269545255,0.4594,0.0243,0.0248,0.164076952,0.213096559,23.14875781,308.8238729
AU-Cpr,SAV,-34.0021,140.5891,56,0.481452354,0.959824168,0.498293041,0.217923009,0.236178927,0.222249343,0.3488,0.011,0.0472,0.069103194,0.127457002,18.00559473,267.5694066
AU-DaP,GRA,-14.0633,131.3181,69,0.600121828,1.042099828,0.929611035,0.199529727,0.02323144,0.196885683,0.2055,0.0018,0.4448,0.2718691,0.718565135,27.58370069,1092.375484
AU-DaS,SAV,-14.1593,131.3881,84,0.74817269,0.262824314,0.403512448,0.244861497,0.021741466,0.238161693,0.2119,-0.0011,0.4522,0.224463901,0.675548788,27.65850751,1070.714063
AU-Dry,SAV,-15.2588,132.3706,84,0.619944116,0.654301274,0.448429118,0.254609173,0.029592448,0.247909636,0.364,0.0058,0.3086,0.202672956,0.516981132,26.85386282,836.1342664
AU-Gin,WSA,-31.3764,115.7138,48,0.231786358,0.541824,0.351674596,0.170888375,0.11698533,0.17222422,0.5946,0.0039,-0.0326,0.194129255,0.16551554,18.74572216,490.5720885
AU-How,WSA,-12.4943,131.1523,162,0.316749313,0.570064229,0.47301931,0.178132932,0.018877749,0.179472482,0.3373,0.0096,0.7927,0.069563905,0.87203863,27.43085886,1796.476099
AU-Rig,GRA,-36.6499,145.5759,46,0.409175601,0.629067893,0.766589927,0.173899971,0.254266526,0.157677083,0.2448,0.002,0.0121,0.392478814,0.406514831,15.00370707,649.7324849
AU-Stp,GRA,-17.1507,133.3502,58,0.604812974,1.842346904,0.872817446,0.190057397,0.03299326,0.187469949,0.3266,4.00E-04,0.4565,0.124888625,0.581823582,26.71460773,597.8416483
AU-Wac,EBF,-37.4259,145.1878,48,0.312783072,0.393421517,0.231673887,0.13813922,0.253740067,0.200575482,0.5353,0.1486,-0.026,0.279535184,0.402194964,11.92184257,720.6128438
AU-Whr,EBF,-36.6732,145.0294,48,0.241408682,0.393498244,0.320686648,0.166165016,0.228050743,0.219888972,0.5302,0.0345,0.0296,0.377820349,0.441890166,14.93918611,549.9938416
AU-Wom,EBF,-37.4222,144.0944,60,0.716017616,0.422250191,0.329735209,0.148290263,0.257661765,0.185702933,0.1946,-0.0032,-0.0032,0.557114477,0.550658058,11.60894182,639.7196991
BE-Bra,MF,51.30761,4.51984,152,0.791890534,0.334338618,0.770787681,0.240599823,0.307399802,0.434678626,0.1522,0.0257,0.0018,0.359400802,0.386883699,10.83276572,832.0268641
BE-Lon,CRO,50.55162,4.74623,117,0.636511971,0.563384355,1.300206219,0.247916604,0.342269571,0.458850731,0.4739,-0.0075,6.00E-04,0.302223912,0.295381106,10.31028761,856.4267305
BE-Vie,MF,50.30493,5.99812,155,0.853164298,0.260738084,0.695911073,0.221359711,0.410776402,0.520314692,0.0874,0.0393,-5.00E-04,0.380451457,0.419351304,8.497982568,1115.436508
BR-Sa3,EBF,-3.01803,-54.97144,29,0.07796573,0.396439931,0.191349189,0.073401804,0.009139685,0.07367113,0.6305,-0.0433,0.1413,0.180243572,0.278213802,26.31395032,2681.466955
CA-Gro,MF,48.2167,-82.1556,116,0.779763106,0.591897132,0.84818593,0.174671633,0.668048877,0.723343613,0.2442,0.0102,0.0691,0.334612331,0.413866102,2.758341283,864.5225316
CA-Man,ENF,55.87962,-98.48081,68,0.011659588,0.896189393,1.878773899,0.181728144,0.849093925,0.897462963,0.9743,-0.5779,-0.0716,0.560311284,-0.089494163,-1.830957658,592.369847
CA-NS1,ENF,55.87917,-98.48389,35,0.798553168,0.559438234,0.634645707,0.192366069,0.744159814,0.771379961,0.1592,0.1794,0.0184,0.382730733,0.580518554,-1.830957658,592.369847
