year,month,site,lat,lon,type,T1 × W1,T1 × W2,T1 × W3,T1 × W4,T2 × W1,T2 × W2,T2 × W3,T2 × W4,T3 × W1,T3 × W2,T3 × W3,T3 × W4,T4 × W1,T4 × W2,T4 × W3,T4 × W4
2010,1,AR-Vir,-28.2395,-56.1886,ENF,0.741414801,1.128086718,1.167314125,0.768832288,2.468611302,2.069434401,2.028938379,2.440307132,2.17E-14,0.389560174,0.429080591,0.027622283,1.132406247,1.517555017,1.556627902,1.159715733
2010,2,AR-Vir,-28.2395,-56.1886,ENF,0.651284537,1.085690118,1.105076108,0.02456684,2.918068735,2.499068292,2.480369779,3.522561411,0,0.431594672,0.45085522,0.622662393,1.251179235,1.68817393,1.707675463,0.62072622
2010,3,AR-Vir,-28.2395,-56.1886,ENF,1.004488219,1.233540776,1.293815381,0.887940246,1.51617153,1.281286754,1.219477414,1.63568709,0.11759212,0.348696748,0.409511351,0,0.942949278,1.172144222,1.232456296,0.826328855
2010,4,AR-Vir,-28.2395,-56.1886,ENF,1.625999352,1.719410436,1.816377794,1.470508397,0.572930176,0.667341202,0.765346572,0.415774729,0.15911453,0.253918495,0.352331763,0.001305002,0.279297039,0.373986885,0.472281689,0.121677473
2010,5,AR-Vir,-28.2395,-56.1886,ENF,1.849101566,NA,1.60509123,2.441283833,0.955986589,NA,0.709755903,1.553557364,0,NA,0.248607339,0.603338611,0.250578001,NA,0.002593618,0.852404778
2010,6,AR-Vir,-28.2395,-56.1886,ENF,1.887398509,NA,2.110053287,1.900498193,0.978775218,NA,1.203492008,0.991996219,1.20E-14,NA,0.226938003,0.013351684,0.291409874,NA,0.063810552,0.278019282
2010,7,AR-Vir,-28.2395,-56.1886,ENF,1.934259769,NA,2.184396296,1.317956719,0.973229922,NA,1.221008177,0.362737338,0,NA,0.245390046,0.604608354,0.413131269,NA,0.168755006,1.015241796
2010,8,AR-Vir,-28.2395,-56.1886,ENF,1.873456512,2.071626827,2.185626705,1.264202867,0.961313609,1.157709568,1.270688728,0.357515029,0,0.194525955,0.306429372,0.598049449,0.272198071,0.078201612,0.033397206,0.868619641
2010,9,AR-Vir,-28.2395,-56.1886,ENF,1.379752192,1.45259949,1.341826657,2.149858468,0.446915214,0.520451566,0.408630946,1.224305833,0.242121295,0.168075976,0.280670539,0.540649876,0.211489765,0.137467072,0.250027229,0.57104221
2010,10,AR-Vir,-28.2395,-56.1886,ENF,1.447826217,1.75993835,1.869237606,1.676328482,0.497234179,0.812356811,0.922710322,0.727940478,0.142209674,0.17493806,0.286000746,0.089979235,0.127544242,0.189557047,0.300603467,0.104610663
2010,11,AR-Vir,-28.2395,-56.1886,ENF,0.777084553,1.584576607,1.651783542,1.334990728,0.620948106,0.197921363,0.266075231,0.055181135,0.484269213,0.333487941,0.401549232,0.080729245,0.153670717,0.661395973,0.729233339,0.409468867
2010,12,AR-Vir,-28.2395,-56.1886,ENF,0.870648757,1.262247874,1.298412557,0.940087831,1.726580832,1.324721658,1.287609445,1.655322426,0,0.395038515,0.431520831,0.070048955,0.857706798,1.249357041,1.285526445,0.927154938
2011,1,AR-Vir,-28.2395,-56.1886,ENF,0.688740396,0.268125833,0.244262919,1.254875085,3.091052615,3.527675795,3.552446933,2.503370802,0,0.423531596,0.447560003,0.570060929,1.352777812,1.78203885,1.806392308,0.775005225
2011,2,AR-Vir,-28.2395,-56.1886,ENF,0.822774698,1.184083344,1.241333408,0.832103032,2.234694538,1.862247346,1.803232358,2.225078627,0.009406607,0.354933726,0.412664167,0,1.028626171,1.389184888,1.446316124,1.037935144
2011,3,AR-Vir,-28.2395,-56.1886,ENF,1.087696553,1.374217221,1.45978831,1.091224173,0.975191048,0.682694784,0.595339048,0.971589856,0,0.289671414,0.376183492,0.003566413,0.606661773,0.894575861,0.980563104,0.610206549
2011,4,AR-Vir,-28.2395,-56.1886,ENF,1.409259826,1.207917811,1.098547316,2.007591324,0.106457846,0.097544751,0.208360494,0.712695842,0,0.204220006,0.315153846,0.606884071,0.218375457,0.423041429,0.534217521,0.3898339
2011,5,AR-Vir,-28.2395,-56.1886,ENF,1.377396159,NA,1.594556894,2.410778828,0.421704521,NA,0.640969628,1.465101072,0.455663605,NA,0.234466589,0.596926143,0.299314322,NA,0.078461577,0.751637175
2011,6,AR-Vir,-28.2395,-56.1886,ENF,1.964392767,NA,1.775000741,2.553527601,0.982768856,NA,0.79148046,1.577802657,1.32E-14,NA,0.193186977,0.600939648,0.369090565,NA,0.176616622,0.967812201
2011,7,AR-Vir,-28.2395,-56.1886,ENF,1.223722468,NA,1.75561427,2.538339176,0.237591291,NA,0.774793226,1.565332452,0.753829411,NA,0.211288862,0.587106599,0.393860327,NA,0.146741856,0.942284844
2011,8,AR-Vir,-28.2395,-56.1886,ENF,1.887367641,2.083923692,2.198778836,1.340041252,0.919380398,1.114069056,1.227833011,0.377253917,0.018541108,0.174338158,0.287044817,0.55562919,0.255464439,0.063042233,0.049397348,0.791279798
2011,9,AR-Vir,-28.2395,-56.1886,ENF,1.557955545,1.937823793,2.039406961,1.144370253,0.530660108,0.906685852,1.007241469,0.121258381,0.116123117,0.257483393,0.357392066,0.52289088,0.144990001,0.228508535,0.328388334,0.551640206
