year,month,site,lat,lon,type,T1_ERROR,T2_ERROR,T3_ERROR,T4_ERROR
2010,1,AR-Vir,-28.2395,-56.1886,ENF,0.741414801,2.468611302,0,1.132406247
2010,2,AR-Vir,-28.2395,-56.1886,ENF,0.651284537,2.918068735,0,1.251179235
2010,3,AR-Vir,-28.2395,-56.1886,ENF,0.887940246,1.63568709,0,0.826328855
2010,4,AR-Vir,-28.2395,-56.1886,ENF,1.469222568,0.414475136,0,0.120374042
2010,5,AR-Vir,-28.2395,-56.1886,ENF,1.849101566,0.955986589,0,0.250578001
2010,6,AR-Vir,-28.2395,-56.1886,ENF,1.887398509,0.978775218,0,0.291409874
2010,7,AR-Vir,-28.2395,-56.1886,ENF,1.934259769,0.973229922,0,0.413131269
2010,8,AR-Vir,-28.2395,-56.1886,ENF,1.873456512,0.961313609,0,0.272198071
2010,9,AR-Vir,-28.2395,-56.1886,ENF,1.61795607,0.687372234,0,0.030557544
2010,10,AR-Vir,-28.2395,-56.1886,ENF,1.587777917,0.638535793,0,0.014644605
2010,11,AR-Vir,-28.2395,-56.1886,ENF,1.255274856,0.136020188,0,0.329005225
2010,12,AR-Vir,-28.2395,-56.1886,ENF,0.870648757,1.726580832,0,0.857706798
2011,1,AR-Vir,-28.2395,-56.1886,ENF,0.688740396,3.091052615,0,1.352777812
2011,2,AR-Vir,-28.2395,-56.1886,ENF,0.832103032,2.225078627,0,1.037935144
2011,3,AR-Vir,-28.2395,-56.1886,ENF,1.087696553,0.975191048,0,0.606661773
2011,4,AR-Vir,-28.2395,-56.1886,ENF,1.409259826,0.106457846,0,0.218375457
2011,5,AR-Vir,-28.2395,-56.1886,ENF,1.824745065,0.873388413,0,0.155640088
2011,6,AR-Vir,-28.2395,-56.1886,ENF,1.964392767,0.982768856,0,0.369090565
2011,7,AR-Vir,-28.2395,-56.1886,ENF,1.962756047,0.984002999,0,0.357275834
2011,8,AR-Vir,-28.2395,-56.1886,ENF,1.906262192,0.938095439,0,0.236967267
2011,9,AR-Vir,-28.2395,-56.1886,ENF,1.676024915,0.647535163,0,0.028900444
2011,10,AR-Vir,-28.2395,-56.1886,ENF,1.46552865,0.247506447,0,0.188705313
2011,11,AR-Vir,-28.2395,-56.1886,ENF,1.046032302,1.131313495,0,0.622571566
2011,12,AR-Vir,-28.2395,-56.1886,ENF,1.221933131,0.462614801,0,0.439244711
2012,1,AR-Vir,-28.2395,-56.1886,ENF,0.763211623,1.656575747,0,0.797039607
2012,2,AR-Vir,-28.2395,-56.1886,ENF,0.631239336,2.404434196,0,1.0748276
2012,3,AR-Vir,-28.2395,-56.1886,ENF,0.945166117,0.719827525,0,0.461035336
2012,4,AR-Vir,-28.2395,-56.1886,ENF,1.447132918,0.674534704,0,0.004795363
2012,5,AR-Vir,-28.2395,-56.1886,ENF,1.43009748,0.647094525,0,0.008953784
2012,6,AR-Vir,-28.2395,-56.1886,ENF,1.70859001,0.959344063,0,0.256459816
2012,7,AR-Vir,-28.2395,-56.1886,ENF,1.818916352,0.96456519,0,0.43241219
2012,8,AR-Vir,-28.2395,-56.1886,ENF,1.327860884,0.445788513,0,0.063068945
2012,9,AR-Vir,-28.2395,-56.1886,ENF,1.314772159,0.418437567,0,0.07436948
2012,10,AR-Vir,-28.2395,-56.1886,ENF,1.024471434,0.413070286,0,0.422824217
2012,11,AR-Vir,-28.2395,-56.1886,ENF,0.818912114,1.306580152,0,0.679882867
2012,12,AR-Vir,-28.2395,-56.1886,ENF,0.692320221,2.092601567,0,0.988494192
2002,2,AT-Neu,47.11667,11.3175,GRA,0.221328229,0.122609156,0.331091079,0.980597306
2002,3,AT-Neu,47.11667,11.3175,GRA,0.462148917,0.280839794,0.214659173,0.952067738
2002,4,AT-Neu,47.11667,11.3175,GRA,0.668570835,0.481742661,0.19861427,0.910476116
2002,5,AT-Neu,47.11667,11.3175,GRA,0.660272371,0.886716542,0.461390611,0.775103175
2002,6,AT-Neu,47.11667,11.3175,GRA,0.404167666,0.940463792,0.582341758,0.602833021
2002,7,AT-Neu,47.11667,11.3175,GRA,0.420890354,0.954912003,0,0.616772472
2002,8,AT-Neu,47.11667,11.3175,GRA,0.435821457,0.967378663,0,0.627909722
2002,9,AT-Neu,47.11667,11.3175,GRA,0.703624298,0.816049018,0.460683247,0.806246752
2002,10,AT-Neu,47.11667,11.3175,GRA,0.728926168,0.604701643,0.283014231,0.876458136
2002,11,AT-Neu,47.11667,11.3175,GRA,0.611221017,0.412048596,0.202286778,0.926629139
2002,12,AT-Neu,47.11667,11.3175,GRA,0.040638733,0.021543062,0.262745198,0.996807413
2003,7,AT-Neu,47.11667,11.3175,GRA,0.57528913,0.968536531,0.563641482,0.622649102
2003,8,AT-Neu,47.11667,11.3175,GRA,0.453804411,0.827092626,0.595021045,0.546207781
2003,9,AT-Neu,47.11667,11.3175,GRA,0.852033004,0.838592588,0.417934881,0.800906449
2003,10,AT-Neu,47.11667,11.3175,GRA,0.61231768,0.354675251,0.026276785,0.937156913
2003,11,AT-Neu,47.11667,11.3175,GRA,0.533767575,0.298829127,0.026452537,0.948695502
2003,12,AT-Neu,47.11667,11.3175,GRA,0.249070073,0.120984537,1.427463618,1.017221865
2003,1,AT-Neu,47.11667,11.3175,GRA,0.626249161,0.296403651,1.379416131,1.038485613
2003,2,AT-Neu,47.11667,11.3175,GRA,0.994294652,0.466814778,NA,1.058077979
2003,3,AT-Neu,47.11667,11.3175,GRA,0.530274041,0.296913508,0.275835016,0.948916436
2003,4,AT-Neu,47.11667,11.3175,GRA,0.769812233,0.492922698,0.047628496,0.906371774
2003,5,AT-Neu,47.11667,11.3175,GRA,0.78293599,0.92492675,0.449882157,0.749577759
2003,6,AT-Neu,47.11667,11.3175,GRA,0.481292892,0.876440316,0.594049441,0.56746635
2004,10,AT-Neu,47.11667,11.3175,GRA,0.65784966,0.732374284,0.393516619,0.841367897
2004,12,AT-Neu,47.11667,11.3175,GRA,0.632179208,0.313826975,4.217482774,1.041367735
2004,11,AT-Neu,47.11667,11.3175,GRA,0.165905997,0.094485822,0.289490651,0.985252252
2004,8,AT-Neu,47.11667,11.3175,GRA,0.394197942,0.976871364,0.575917954,0.635472897
2004,9,AT-Neu,47.11667,11.3175,GRA,0.579923568,0.885847089,0.471479143,0.778256835
2004,6,AT-Neu,47.11667,11.3175,GRA,0.524751998,0.944496953,0.495983619,0.737160326
2004,7,AT-Neu,47.11667,11.3175,GRA,0.436913684,0.984109447,0.558538192,0.669313668
2004,1,AT-Neu,47.11667,11.3175,GRA,0.74293365,0.364520485,16.23059819,1.046989816
2004,2,AT-Neu,47.11667,11.3175,GRA,0.261254086,0.135400164,2.66928947,1.019160248
2004,3,AT-Neu,47.11667,11.3175,GRA,0.211131506,0.122111371,0.851437103,0.981067661
2004,5,AT-Neu,47.11667,11.3175,GRA,0.666940745,0.698849365,0.31854793,0.847778792
2005,1,AT-Neu,47.11667,11.3175,GRA,1.006021945,0.491216888,NA,1.060344999
2005,2,AT-Neu,47.11667,11.3175,GRA,0.928962991,0.456081304,NA,1.056771572
2005,4,AT-Neu,47.11667,11.3175,GRA,0.599507562,0.560343844,0.175562292,0.891680331
2005,3,AT-Neu,47.11667,11.3175,GRA,0.204898968,0.123992456,0.913875598,0.980782226
2005,5,AT-Neu,47.11667,11.3175,GRA,0.54237677,0.851317851,0.387007273,0.792876873
2005,7,AT-Neu,47.11667,11.3175,GRA,0.375471675,0.984362137,0.55936433,0.663292987
2005,8,AT-Neu,47.11667,11.3175,GRA,0.459193679,0.945193626,0.518433277,0.734193407
2005,9,AT-Neu,47.11667,11.3175,GRA,0.504023347,0.89949199,0.472162046,0.770785418
2005,10,AT-Neu,47.11667,11.3175,GRA,0.605832805,0.583052263,0.246392446,0.884971534
2005,11,AT-Neu,47.11667,11.3175,GRA,0.016509822,0.00927136,1.002336059,1.001355692
2005,6,AT-Neu,47.11667,11.3175,GRA,0.389795341,0.982622808,0.520807439,0.68231019
2006,9,AT-Neu,47.11667,11.3175,GRA,0.807385441,0.982228165,0.533609055,0.690959499
2006,6,AT-Neu,47.11667,11.3175,GRA,0.793092444,0.984006971,0.53341275,0.670286456
2006,7,AT-Neu,47.11667,11.3175,GRA,0.470384106,0.601634141,0,0.487277164
2006,8,AT-Neu,47.11667,11.3175,GRA,0.838599407,0.975332039,0.575558139,0.700045655
2006,5,AT-Neu,47.11667,11.3175,GRA,0.99717244,0.81652581,0.380974964,0.810256664
2006,1,AT-Neu,47.11667,11.3175,GRA,1.498714127,0.696153024,NA,1.079786571
2006,3,AT-Neu,47.11667,11.3175,GRA,0.073723714,0.035304091,2.077782259,1.005104028
2006,4,AT-Neu,47.11667,11.3175,GRA,0.891734851,0.543021025,0.191939597,0.893865532
2006,10,AT-Neu,47.11667,11.3175,GRA,1.000130537,0.732445598,0.362435496,0.836378891
2006,11,AT-Neu,47.11667,11.3175,GRA,0.49991397,0.259472823,0.08190957,0.956179393
2007,1,AT-Neu,47.11667,11.3175,GRA,0.035620561,0.019328327,0.591235373,1.002870445
2007,2,AT-Neu,47.11667,11.3175,GRA,0.213387516,0.124324944,0.467591774,0.980727817
2007,3,AT-Neu,47.11667,11.3175,GRA,0.440981213,0.287564765,0.165134296,0.951759093
2007,4,AT-Neu,47.11667,11.3175,GRA,0.63642433,0.776970719,0.26332292,0.823910955
2007,5,AT-Neu,47.11667,11.3175,GRA,0.569676915,0.890061003,0.409588474,0.773274012
2007,6,AT-Neu,47.11667,11.3175,GRA,0.412192104,0.983879981,0.559360761,0.656694087
2007,7,AT-Neu,47.11667,11.3175,GRA,0.381840471,0.975656742,0.55100973,0.647967772
2007,8,AT-Neu,47.11667,11.3175,GRA,0.442481765,0.981324961,0.551985895,0.693875478
2007,9,AT-Neu,47.11667,11.3175,GRA,0.644038122,0.746542639,0.386504636,0.836531813
2007,10,AT-Neu,47.11667,11.3175,GRA,0.61815073,0.495126685,0.188216704,0.907799857
2007,11,AT-Neu,47.11667,11.3175,GRA,0.060255527,0.033473725,0.608077911,0.994913661
2007,12,AT-Neu,47.11667,11.3175,GRA,0.565303418,0.283126894,2.592419705,1.037768588
2008,2,AT-Neu,47.11667,11.3175,GRA,0.091350703,0.052007949,0.949432396,0.99202937
2008,5,AT-Neu,47.11667,11.3175,GRA,0.536802048,0.897958882,0.428106271,0.763621298
2008,6,AT-Neu,47.11667,11.3175,GRA,0.402663592,0.98403465,0.553174971,0.681088616
2008,7,AT-Neu,47.11667,11.3175,GRA,0.414583837,0.983080473,0.560116782,0.675909246
2008,8,AT-Neu,47.11667,11.3175,GRA,0.374678348,0.980939435,0.569464065,0.658955051
2008,9,AT-Neu,47.11667,11.3175,GRA,0.588558346,0.816168253,0.447434311,0.806196777
2008,10,AT-Neu,47.11667,11.3175,GRA,0.631612573,0.603037925,0.270020354,0.880375736
2008,11,AT-Neu,47.11667,11.3175,GRA,0.305913843,0.189254603,0.215551462,0.969160524
2009,1,AT-Neu,47.11667,11.3175,GRA,1.131678351,0.539450123,NA,1.065097054
2009,2,AT-Neu,47.11667,11.3175,GRA,0.356496516,0.180110408,4.148182621,1.024990327
2009,3,AT-Neu,47.11667,11.3175,GRA,0.232445967,0.132471407,0.375353717,0.979363419
2009,4,AT-Neu,47.11667,11.3175,GRA,0.699176772,0.699051838,0.259531222,0.850966292
2009,5,AT-Neu,47.11667,11.3175,GRA,0.586174152,0.920080144,0.443133363,0.749664533
2009,6,AT-Neu,47.11667,11.3175,GRA,0.549872272,0.950286009,0.518396018,0.732142203
2009,7,AT-Neu,47.11667,11.3175,GRA,0.456361038,0.984332487,0.553208298,0.669724559
2009,8,AT-Neu,47.11667,11.3175,GRA,0.393414405,0.961203119,0.578806136,0.629649026
2009,9,AT-Neu,47.11667,11.3175,GRA,0.575526984,0.927049975,0.497978317,0.753674449
2009,10,AT-Neu,47.11667,11.3175,GRA,0.666845781,0.527205074,0.232995423,0.899433218
2009,11,AT-Neu,47.11667,11.3175,GRA,0.423077281,0.261212025,0.025469019,0.95596464
2009,12,AT-Neu,47.11667,11.3175,GRA,0.545295431,0.269917234,3.61384619,1.036113301
2010,7,AT-Neu,47.11667,11.3175,GRA,0.405235638,0.93798608,0.580150249,0.600996174
2010,8,AT-Neu,47.11667,11.3175,GRA,0.538249472,0.978530006,0.569115296,0.689455247
2010,9,AT-Neu,47.11667,11.3175,GRA,0.711231439,0.809453974,0.429651018,0.808984949
2010,10,AT-Neu,47.11667,11.3175,GRA,0.678688037,0.492464751,0.187950229,0.907926148
2010,11,AT-Neu,47.11667,11.3175,GRA,0.311837043,0.177299962,0.169149079,0.971218046
2010,12,AT-Neu,47.11667,11.3175,GRA,0.770962292,0.372511998,13.44379731,1.048011688
2010,2,AT-Neu,47.11667,11.3175,GRA,0.383321798,0.190487834,4.253591323,1.025805925
2010,3,AT-Neu,47.11667,11.3175,GRA,0.30155388,0.1707507,0.44072966,0.972412616
2010,4,AT-Neu,47.11667,11.3175,GRA,0.716183811,0.5618989,0.0928591,0.891279698
2010,5,AT-Neu,47.11667,11.3175,GRA,0.731996855,0.752932874,0.410527317,0.830662008
2010,6,AT-Neu,47.11667,11.3175,GRA,0.544307594,0.975499547,0.531240845,0.699753043
2011,3,AT-Neu,47.11667,11.3175,GRA,0.475232302,0.312444309,0.222397476,0.947101012
2011,4,AT-Neu,47.11667,11.3175,GRA,0.67314307,0.680630859,0.182909184,0.85679492
2011,5,AT-Neu,47.11667,11.3175,GRA,0.596333337,0.870467325,0.344989699,0.781319672
2011,6,AT-Neu,47.11667,11.3175,GRA,0.467391271,0.977818671,0.541582305,0.702221411
2011,7,AT-Neu,47.11667,11.3175,GRA,0.489177011,0.968456462,0.526100312,0.716809429
2011,8,AT-Neu,47.11667,11.3175,GRA,0.385722577,0.971657594,0.56042203,0.633527408
2011,9,AT-Neu,47.11667,11.3175,GRA,0.552426146,0.924367436,0.479121452,0.75231185
2011,10,AT-Neu,47.11667,11.3175,GRA,0.626681441,0.490202958,0.117531936,0.906519042
2011,11,AT-Neu,47.11667,11.3175,GRA,0.275136422,0.162422753,0.359946735,0.974384254
2011,1,AT-Neu,47.11667,11.3175,GRA,0.633326754,0.314005897,6.56385818,1.041388458
2011,2,AT-Neu,47.11667,11.3175,GRA,0.151404063,0.079722813,1.842910176,1.011535857
