year,month,site,lat,lon,type,W1_ERROR,W2_ERROR,W3_ERROR,W4_ERROR
2010,1,AR-Vir,-28.2395,-56.1886,ENF,2.17E-14,0.389560174,0.429080591,0.027622283
2010,2,AR-Vir,-28.2395,-56.1886,ENF,0,0.431594672,0.45085522,0.622662393
2010,3,AR-Vir,-28.2395,-56.1886,ENF,0.11759212,0.348696748,0.409511351,0
2010,4,AR-Vir,-28.2395,-56.1886,ENF,0.15911453,0.253918495,0.352331763,0.001305002
2010,5,AR-Vir,-28.2395,-56.1886,ENF,0,NA,0.248607339,0.603338611
2010,6,AR-Vir,-28.2395,-56.1886,ENF,1.20E-14,NA,0.226938003,0.013351684
2010,7,AR-Vir,-28.2395,-56.1886,ENF,0,NA,0.245390046,0.604608354
2010,8,AR-Vir,-28.2395,-56.1886,ENF,0,0.194525955,0.306429372,0.598049449
2010,9,AR-Vir,-28.2395,-56.1886,ENF,0.242121295,0.168075976,0.280670539,0.540649876
2010,10,AR-Vir,-28.2395,-56.1886,ENF,0.142209674,0.17493806,0.286000746,0.089979235
2010,11,AR-Vir,-28.2395,-56.1886,ENF,0.484269213,0.333487941,0.401549232,0.080729245
2010,12,AR-Vir,-28.2395,-56.1886,ENF,0,0.395038515,0.431520831,0.070048955
2011,1,AR-Vir,-28.2395,-56.1886,ENF,0,0.423531596,0.447560003,0.570060929
2011,2,AR-Vir,-28.2395,-56.1886,ENF,0.009406607,0.354933726,0.412664167,0
2011,3,AR-Vir,-28.2395,-56.1886,ENF,0,0.289671414,0.376183492,0.003566413
2011,4,AR-Vir,-28.2395,-56.1886,ENF,0,0.204220006,0.315153846,0.606884071
2011,5,AR-Vir,-28.2395,-56.1886,ENF,0.455663605,NA,0.234466589,0.596926143
2011,6,AR-Vir,-28.2395,-56.1886,ENF,1.32E-14,NA,0.193186977,0.600939648
2011,7,AR-Vir,-28.2395,-56.1886,ENF,0.753829411,NA,0.211288862,0.587106599
2011,8,AR-Vir,-28.2395,-56.1886,ENF,0.018541108,0.174338158,0.287044817,0.55562919
2011,9,AR-Vir,-28.2395,-56.1886,ENF,0.116123117,0.257483393,0.357392066,0.52289088
2011,10,AR-Vir,-28.2395,-56.1886,ENF,0,0.270226984,0.363604477,0.068447484
